Countries or Regions,Currency Code,Price,Proceeds,May Adjust Automatically
United Kingdom,GBP,4.99,3.52,N
Afghanistan,USD,4.99,4.24,Y
Albania,USD,5.99,4.24,Y
Algeria,USD,4.99,4.24,Y
Angola,USD,4.99,4.24,Y
Anguilla,USD,4.99,4.24,Y
Antigua and Barbuda,USD,4.99,4.24,Y
Argentina,USD,4.99,4.24,Y
Armenia,USD,5.99,4.24,Y
Australia,AUD,7.99,6.17,Y
Austria,EUR,5.99,4.24,Y
Azerbaijan,USD,5.99,4.31,Y
Bahamas,USD,4.99,3.86,Y
Bahrain,USD,4.99,3.86,Y
Barbados,USD,5.99,4.33,Y
Belarus,USD,5.99,4.24,Y
Belgium,EUR,5.99,4.21,Y
Belize,USD,4.99,4.24,Y
Benin,USD,5.99,4.31,Y
Bermuda,USD,4.99,4.24,Y
Bhutan,USD,4.99,4.04,Y
Bolivia,USD,4.99,4.24,Y
Bosnia and Herzegovina,EUR,5.99,4.35,Y
Botswana,USD,4.99,4.24,Y
Brazil,BRL,29.9,22.21,Y
British Virgin Islands,USD,4.99,4.24,Y
Brunei,USD,4.99,4.24,Y
Bulgaria,EUR,5.99,4.24,Y
Burkina Faso,USD,4.99,4.24,Y
Cambodia,USD,4.99,3.86,Y
Cameroon,USD,5.99,4.27,Y
Canada,CAD,6.99,5.94,Y
Cape Verde,USD,4.99,4.24,Y
Cayman Islands,USD,4.99,4.24,Y
Chad,USD,4.99,4.24,Y
Chile,CLP,5990,4279,Y
China mainland,CNY,38.0,32.01,Y
Colombia,COP,24900.0,17785.71,Y
"Congo, Democratic Republic of the",USD,4.99,4.24,Y
"Congo, Republic of the",USD,4.99,4.24,Y
Costa Rica,USD,4.99,4.24,Y
Côte d’Ivoire,USD,5.99,4.31,Y
Croatia,EUR,5.99,4.07,Y
Cyprus,EUR,5.99,4.28,Y
Czech Republic,CZK,129.0,90.62,Y
Denmark,DKK,39.0,26.52,Y
Dominica,USD,4.99,4.24,Y
Dominican Republic,USD,4.99,4.24,Y
Ecuador,USD,4.99,4.24,Y
Egypt,EGP,249.99,186.4,Y
El Salvador,USD,4.99,4.24,Y
Estonia,EUR,5.99,4.11,Y
Eswatini,USD,4.99,4.24,Y
Fiji,USD,4.99,4.24,Y
Finland,EUR,5.99,4.06,Y
France,EUR,5.99,4.24,Y
Gabon,USD,4.99,4.24,Y
Gambia,USD,4.99,4.24,Y
Georgia,USD,5.99,4.31,Y
Germany,EUR,5.99,4.28,Y
Ghana,USD,5.99,4.24,Y
Greece,EUR,5.99,4.11,Y
Grenada,USD,4.99,4.24,Y
Guatemala,USD,4.99,4.24,Y
Guinea-Bissau,USD,4.99,4.24,Y
Guyana,USD,4.99,4.24,Y
Honduras,USD,4.99,4.24,Y
Hong Kong,HKD,38.0,32.3,Y
Hungary,HUF,1990,1332,Y
Iceland,USD,5.99,4.11,Y
India,INR,499.0,359.45,Y
